step,epoch,loss,grad_norm,learning_rate,timestamp
1,0.000133422281521014,2.0646,11.848824501037598,0.0,2025-09-09T12:29:49.887161
2,0.000266844563042028,2.1561,14.845433235168457,1e-05,2025-09-09T12:29:53.466153
3,0.00040026684456304204,2.0481,11.873183250427246,2e-05,2025-09-09T12:29:57.931324
4,0.000533689126084056,1.8325,9.259591102600098,3e-05,2025-09-09T12:30:00.110088
5,0.00066711140760507,1.9908,5.357047080993652,4e-05,2025-09-09T12:30:03.753692
6,0.0008005336891260841,1.5635,6.219686508178711,5e-05,2025-09-09T12:30:06.708179
7,0.0009339559706470981,1.6361,5.41552209854126,4.999332443257677e-05,2025-09-09T12:30:10.564544
8,0.001067378252168112,1.8442,5.7054524421691895,4.998664886515354e-05,2025-09-09T12:30:13.899678
9,0.001200800533689126,2.6678,7.606067180633545,4.997997329773031e-05,2025-09-09T12:30:16.147758
10,0.00133422281521014,1.695,6.155480861663818,4.997329773030708e-05,2025-09-09T12:30:19.827390
11,0.0014676450967311542,2.1664,7.960540771484375,4.996662216288385e-05,2025-09-09T12:30:24.569183
12,0.0016010673782521682,2.0096,7.156686305999756,4.995994659546061e-05,2025-09-09T12:30:27.405027
13,0.0017344896597731821,1.8233,6.723649501800537,4.995327102803738e-05,2025-09-09T12:30:30.210446
14,0.0018679119412941961,2.0134,5.3132429122924805,4.994659546061415e-05,2025-09-09T12:30:33.456638
15,0.0020013342228152103,2.1493,5.639991760253906,4.993991989319092e-05,2025-09-09T12:30:37.216317
16,0.002134756504336224,1.9049,5.39070463180542,4.993324432576769e-05,2025-09-09T12:30:40.521901
17,0.0022681787858572383,1.7332,6.2262654304504395,4.992656875834446e-05,2025-09-09T12:30:43.568595
18,0.002401601067378252,1.3946,4.663686275482178,4.991989319092123e-05,2025-09-09T12:30:48.281189
19,0.002535023348899266,2.0427,6.393377780914307,4.9913217623498e-05,2025-09-09T12:30:50.120166
20,0.00266844563042028,1.8738,5.1229472160339355,4.990654205607477e-05,2025-09-09T12:30:52.841415
21,0.002801867911941294,1.954,5.835814476013184,4.989986648865154e-05,2025-09-09T12:30:57.556068
22,0.0029352901934623084,1.775,3.9784579277038574,4.989319092122831e-05,2025-09-09T12:31:02.501537
23,0.003068712474983322,1.8995,4.81807279586792,4.988651535380508e-05,2025-09-09T12:31:05.113541
24,0.0032021347565043363,1.7315,3.8302204608917236,4.987983978638184e-05,2025-09-09T12:31:09.421131
25,0.00333555703802535,1.7677,5.343930721282959,4.987316421895861e-05,2025-09-09T12:31:12.044277
