step,epoch,loss,grad_norm,learning_rate,timestamp
1,0.016666666666666666,4.0493,34.42888641357422,0.0,2025-09-09T12:22:12.213543
2,0.03333333333333333,4.3878,35.703060150146484,1e-05,2025-09-09T12:22:13.325494
3,0.05,3.4669,25.920026779174805,2e-05,2025-09-09T12:22:14.373847
4,0.06666666666666667,3.2585,30.853090286254883,3e-05,2025-09-09T12:22:15.348765
5,0.08333333333333333,2.621,18.27647590637207,4e-05,2025-09-09T12:22:16.317979
6,0.1,2.6507,14.584881782531738,5e-05,2025-09-09T12:22:17.594923
7,0.11666666666666667,2.0848,8.948674201965332,4.909090909090909e-05,2025-09-09T12:22:18.606913
8,0.13333333333333333,2.5321,8.249393463134766,4.8181818181818186e-05,2025-09-09T12:22:20.057136
9,0.15,2.6791,8.069572448730469,4.7272727272727275e-05,2025-09-09T12:22:21.462911
10,0.16666666666666666,2.6869,8.04322338104248,4.636363636363636e-05,2025-09-09T12:22:22.795030
11,0.18333333333333332,2.3076,6.792830944061279,4.545454545454546e-05,2025-09-09T12:22:23.949117
12,0.2,2.1249,8.007267951965332,4.454545454545455e-05,2025-09-09T12:22:25.014609
13,0.21666666666666667,2.0005,6.866811752319336,4.3636363636363636e-05,2025-09-09T12:22:26.368845
14,0.23333333333333334,1.7836,5.924231052398682,4.2727272727272724e-05,2025-09-09T12:22:27.583248
15,0.25,1.8657,5.304329872131348,4.181818181818182e-05,2025-09-09T12:22:29.014671
16,0.26666666666666666,1.8818,5.416172504425049,4.0909090909090915e-05,2025-09-09T12:22:30.472831
17,0.2833333333333333,1.9261,5.28977632522583,4e-05,2025-09-09T12:22:31.807925
18,0.3,1.668,5.051026344299316,3.909090909090909e-05,2025-09-09T12:22:33.106503
19,0.31666666666666665,1.4869,10.0769681930542,3.818181818181819e-05,2025-09-09T12:22:34.117636
20,0.3333333333333333,1.3938,7.1563520431518555,3.7272727272727276e-05,2025-09-09T12:22:35.192852
21,0.35,1.3178,4.712951183319092,3.6363636363636364e-05,2025-09-09T12:22:36.523700
22,0.36666666666666664,1.3291,6.556621074676514,3.545454545454546e-05,2025-09-09T12:22:37.976118
23,0.38333333333333336,1.0587,6.349289894104004,3.454545454545455e-05,2025-09-09T12:22:39.131572
24,0.4,1.5515,5.765347480773926,3.3636363636363636e-05,2025-09-09T12:22:40.449669
25,0.4166666666666667,1.3291,6.782379627227783,3.272727272727273e-05,2025-09-09T12:22:41.629675
26,0.43333333333333335,1.2668,7.569711685180664,3.181818181818182e-05,2025-09-09T12:22:42.773665
27,0.45,1.0054,7.02976131439209,3.090909090909091e-05,2025-09-09T12:22:43.777626
28,0.4666666666666667,1.8917,8.69021224975586,3e-05,2025-09-09T12:22:45.033018
29,0.48333333333333334,1.5627,7.4709930419921875,2.909090909090909e-05,2025-09-09T12:22:46.155405
30,0.5,0.8492,4.678184986114502,2.818181818181818e-05,2025-09-09T12:22:47.436325
31,0.5166666666666667,1.0912,7.9126667976379395,2.7272727272727273e-05,2025-09-09T12:22:48.411816
32,0.5333333333333333,1.4434,6.938244819641113,2.636363636363636e-05,2025-09-09T12:22:49.949277
33,0.55,1.5765,8.10930347442627,2.5454545454545454e-05,2025-09-09T12:22:51.212433
34,0.5666666666666667,1.5008,6.574943542480469,2.4545454545454545e-05,2025-09-09T12:22:52.548728
35,0.5833333333333334,0.8372,6.43850564956665,2.3636363636363637e-05,2025-09-09T12:22:53.728544
36,0.6,1.5954,9.313363075256348,2.272727272727273e-05,2025-09-09T12:22:54.905213
37,0.6166666666666667,1.3386,6.379586696624756,2.1818181818181818e-05,2025-09-09T12:22:55.867629
38,0.6333333333333333,0.6568,6.595367908477783,2.090909090909091e-05,2025-09-09T12:22:57.061738
39,0.65,1.1571,4.472286701202393,2e-05,2025-09-09T12:22:58.558364
40,0.6666666666666666,1.4972,6.127585411071777,1.9090909090909094e-05,2025-09-09T12:22:59.715625
41,0.6833333333333333,1.2224,6.477560043334961,1.8181818181818182e-05,2025-09-09T12:23:00.833913
42,0.7,0.4912,5.36292839050293,1.7272727272727274e-05,2025-09-09T12:23:01.770364
43,0.7166666666666667,1.3884,8.789241790771484,1.6363636363636366e-05,2025-09-09T12:23:02.681230
44,0.7333333333333333,1.3922,10.050256729125977,1.5454545454545454e-05,2025-09-09T12:23:03.966734
45,0.75,0.9497,8.014801025390625,1.4545454545454545e-05,2025-09-09T12:23:05.019578
46,0.7666666666666667,0.8974,5.879091739654541,1.3636363636363637e-05,2025-09-09T12:23:06.266744
47,0.7833333333333333,1.2576,10.044332504272461,1.2727272727272727e-05,2025-09-09T12:23:07.385607
48,0.8,0.7483,9.3490571975708,1.1818181818181819e-05,2025-09-09T12:23:08.239446
49,0.8166666666666667,0.881,4.78808069229126,1.0909090909090909e-05,2025-09-09T12:23:09.499108
50,0.8333333333333334,0.464,5.478757858276367,1e-05,2025-09-09T12:23:10.631343
51,0.85,1.0778,7.43104362487793,9.090909090909091e-06,2025-09-09T12:23:11.852472
52,0.8666666666666667,1.4565,9.625650405883789,8.181818181818183e-06,2025-09-09T12:23:12.909212
53,0.8833333333333333,0.4925,4.9174981117248535,7.272727272727272e-06,2025-09-09T12:23:14.121138
54,0.9,1.0356,5.211202144622803,6.363636363636363e-06,2025-09-09T12:23:15.340970
55,0.9166666666666666,1.0445,5.914242744445801,5.4545454545454545e-06,2025-09-09T12:23:16.583748
56,0.9333333333333333,0.8139,5.090944766998291,4.5454545454545455e-06,2025-09-09T12:23:17.902656
57,0.95,1.2088,6.0121846199035645,3.636363636363636e-06,2025-09-09T12:23:19.107785
58,0.9666666666666667,1.026,7.22861909866333,2.7272727272727272e-06,2025-09-09T12:23:20.305922
59,0.9833333333333333,0.8722,4.976379871368408,1.818181818181818e-06,2025-09-09T12:23:21.558506
60,1.0,0.4818,5.261578559875488,9.09090909090909e-07,2025-09-09T12:23:22.766221
